"id","text","rev","issue","book","date","pageno","readingorder","inscribed","isheader","noadvert","lang","rnotes","expert_text","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","header_tag"
"787471e9-5340-5095-802b-6847a8ae1181/t0","Es wird zum Verkauf angetragen:","N",1,32881,1780-01-06,7,1,"1",TRUE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,1410,1500,181/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t1","1. Etliche Eremplar Rüßischer Trachten, wovon iedes 24 Stuck fein illummierter Kupferstichen enthält, in sehr billigem Preis. im Berichthaus ohnentgeltlich zu erfragen.","N",1,32881,1780-01-06,7,2,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,1591,1500,398/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t2","2. Ein so viel als ganz neues schönes und gutes mößingenes Schloß, Fischband und Griff an eine Stubenthur. Ein Kreuzstock mit 8 Schiebflügeln, mit guten glatten runden Scheiben, für eine Werkstätte sehr dienlich. Ein 2thüriger tannerner Waaren-Kasten. Eine auseinander gelegte eichene Schnecken-Stegen, ein Kinder-Wägelein auf - Rädern, in billigem Preis, im Berichthaus zu erfragen.","N",1,32881,1780-01-06,7,3,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,1989,1500,765/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t3","3. Eine sehr wohlgelegene Behausung in Mitte der Stadt, zu verkaufen, oder in Mangel eines Käufers, auf Faßnacht ein geraumes Losament mit einem Laden zu verleihen, im Berichthaus zu erfragen.","N",1,32881,1780-01-06,7,4,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,2754,1500,394/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t4","4. Zwo gan; neue sehr gute Sack-Uhren, eine silberne und eine goldene, im Berichthaus zu erfragen.","N",1,32881,1780-01-06,7,5,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,3148,1500,227/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t5",". Eine schwarze Westen und Hosen von Plüsch, in billigem Preis, bey Mstr. Kaspar Roth dem Schneider an der Freyenstraß zu erfragen.","N",1,32881,1780-01-06,7,6,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,3375,1500,304/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t6","6. Ein noch sauberer Rennschlitten, mit einem schönen Bild, mit oder ohne Geschell, oder auch ohne Pferdt auszuleihen, bey Frau Magdal. Bürgy an der Rebgaß zu erfragen.","N",1,32881,1780-01-06,7,7,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,3679,1500,318/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t7","7. Im Berichthaus ist zu haben; Von der bekandten beliebten Chokolade, das Pfund à 18, 14. und 12 Batzen, und fein rothes Siegellack von fl. 1. kr. 15. bis auf fl 3. kr. 15. das Pfund, auch feines grünes Thee um 40 Batzen das Pfund, und Eau des Carmes das Gläslein à 4 Batzen.","N",1,32881,1780-01-06,7,8,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/357,3997,1500,95/full/0/default.jpg","https://iiif.avisblatt.freizo.org/image/32888_0000/1886,1382,1467,498/full/0/default.jpg","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t9","s8. Bey Frau Dienast auf dem Fischmarckt sind frische Balchen in billigem Preis zu haben.","N",1,32881,1780-01-06,7,9,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/1886,1880,1467,238/full/0/default.jpg","","",,,,,,,,"saleoffer"
"787471e9-5340-5095-802b-6847a8ae1181/t10","9. Eine bequeme neuerbaute Scheuer, samt Heübühne, in der St. Alban-Vorstadt, zu verkaufen oder zu verleihen, bey Herrn Wernhard Berkhardts sel. Wittib zu erfragen.","N",1,32881,1780-01-06,7,10,"1",FALSE,FALSE,,,,"https://iiif.avisblatt.freizo.org/image/32888_0000/1886,2118,1467,389/full/0/default.jpg","","",,,,,,,,"saleoffer"
