year;N
1729;15736
1730;15791
1731;15847
1732;15802
1733;15777
1734;15874
1735;15935
1736;15901
1737;15924
1738;16042
1739;16122
1740;16058
1741;16047
1742;15956
1743;15885
1744;15871
1745;15890
1746;15867
1747;15790
1748;15801
1749;15829
1750;15859
1751;15758
1752;15750
1753;15734
1754;15694
1755;15625
1756;15571
1757;15506
1758;15547
1759;15424
1760;15399
1761;15338
1762;15290
1763;15299
1764;15339
1765;15319
1766;15341
1767;15237
1768;15236
1769;15247
1770;15187
1771;15208
1772;15104
1773;15114
1774;15085
1775;15090
1776;15088
1777;15085
1778;15075
1779;15040
1780;15107
1781;15110
1782;15091
1783;15131
1784;15140
1785;15097
1786;15075
1787;15067
1788;15101
1789;15070
1790;15112
1791;15033
1792;14944
1793;14881
1794;14906
1795;14857
1796;14792
1797;14871
1798;14961
1799;14878
1800;14996
1801;15229
1802;15297
1803;15383
1804;15482
1805;15629
1806;15739
1807;15892
1808;16064
1809;16147
1810;16265
1811;16398
1812;16580
1813;16260
1814;16445
1815;16674
1816;16829
1817;16961
1818;17122
1819;17253
1820;17513
1821;17709
1822;17965
1823;18180
1824;18464
1825;18695
1826;18921
1827;19139
1828;19386
1829;19528
1830;19769
1831;20037
1832;20266
1833;20555
1834;20896
1835;21219
1836;21597
1837;22199
1838;22450
1839;22766
1840;23111
1841;23466
1842;23845
1843;24170
1844;24586
1845;25033
