id,rev,issue,book,date,pageno,readingorder,inscribed,isheader,noadvert,lang,rnotes,text,expert_text,fragment1,fragment2,fragment3,fragment4,fragment5,fragment6,fragment7,fragment8,fragment9,fragment10,header_tag
2d3717a7-6b19-5571-8576-e47aa7551c77/t0,N,1,27537,1767-01-01,3,1,1,TRUE,FALSE,,,Es wird zum Verkauf angetragen:,,"https://iiif.avisblatt.freizo.org/image/27540_0000/354,1280,1517,150/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t1,N,1,27537,1767-01-01,3,2,1,FALSE,FALSE,,,"1. Bey Hrn. Daniel de Robert Mitz am Rindermarkt ist zu haben : Frische Stock- undf Moilisisch, wie auch grosse Balchen und dito holländische Häring, alles in billigem Preis.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/345,1430,1537,319/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t2,N,1,27537,1767-01-01,3,3,1,FALSE,FALSE,,,"2. Zwölf schöne und gute Immen-Stöck in billigem Preis, im Berichthaus ohne Entgeldt zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/345,1754,1537,239/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t3,N,1,27537,1767-01-01,3,4,1,FALSE,FALSE,,,"3. Eine Seidenmühle samt Zugehördt in billigem Preis, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/344,1993,1532,165/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t4,N,1,27537,1767-01-01,3,5,1,FALSE,FALSE,,,4. Bey Hrn. Bauler Jgr. an der untern Freyen. straß sind frische süsse Picking in billigem Preis zu haben.,,"https://iiif.avisblatt.freizo.org/image/27540_0000/334,2153,1537,229/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t5,N,1,27537,1767-01-01,3,6,1,FALSE,FALSE,,,"5. Le grand Dictionnaire de Moreri fol. samt Supplement in 9 Tomis in Franzband, im Berichthaus zu sehen und in billigem Preis zu haben.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/344,2387,1532,304/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t6,N,1,27537,1767-01-01,3,7,1,FALSE,FALSE,,,6. Eine silberne Minuten-Uhr à la Frangoise in billigem Preis im Berichthaus zu haben.,,"https://iiif.avisblatt.freizo.org/image/27540_0000/360,2697,1527,145/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t7,N,1,27537,1767-01-01,3,8,1,FALSE,FALSE,,,7. Bey Mstr. Emanuel Brodtbeck dem Tischmacher hinters Rümlins-Mühl sind zwo tannerne Commoden und ein einthürig dito Kästlein in billigem Preis zu haben.,,"https://iiif.avisblatt.freizo.org/image/27540_0000/360,2842,1527,339/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t8,N,1,27537,1767-01-01,3,9,1,FALSE,FALSE,,,"Schöner rother Margräfer-Wein de 1764. und 65. der Saum à 15. lb. Item weisser Margräfer-Wein à 13 lb der Saum, davon nach Belieben zu haben und bey Meister Rudolf Spörlin dem Küefer beym Urbans- Brunnen zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/365,3181,1522,468/full/0/default.jpg","","","","","","","","","",saleoffer
2d3717a7-6b19-5571-8576-e47aa7551c77/t9,N,1,27537,1767-01-01,3,10,1,FALSE,FALSE,,,"9. Wo allerhand schone Ring von 1 à 6 Neue Thaler, wie auch sehr schöne Garnitures steinerne Schnallen zu haben, ist im Berichthaus ohne Entgeldt zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/27540_0000/370,3649,1517,319/full/0/default.jpg","","","","","","","","","",saleoffer
