id,rev,issue,book,date,pageno,readingorder,inscribed,isheader,noadvert,adcontent,adtype,finance,keyword,lang,rnotes,text,expert_text,fragment1,fragment2,fragment3,fragment4,fragment5,fragment6,fragment7,fragment8,fragment9,fragment10,header_tag
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t0,N,1,28774,1770-01-04,5,1,1,TRUE,FALSE,,,,,de,,Es wird zum Verkauf angetragen:,,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,1623,1559,160/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t1,N,1,28774,1770-01-04,5,2,1,FALSE,FALSE,,,,,de,,"In Herrn Emanuel Thurneysens Buchhand lung allhier ist zu haben: 1. Verschiedene kleine Schriften, über Philoso. phische und Politische, so wohl bürgerliche als peinliche Gegenstände, 8. Basel 1769. auf Schreibp. à fl 1. kr. 12. und ordinari Papier à fl 1.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,1783,1559,649/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t2,N,1,28774,1770-01-04,5,3,1,FALSE,FALSE,,,,,de,,"2. Die Stockerische Behausung an der untern Rheingaß, welche das Wasserrecht hat, einseits neben Herrn Rudolf Zorn, anderseits neben Herrn Albert Wagner, mit der schönen Aussicht gegen dem Rhein, in billigem Preis, weshatb sich im Haus selbsten anzumelden.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,2432,1559,583/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t3,N,1,28774,1770-01-04,5,4,1,FALSE,FALSE,,,,,de,,"3. Bey Frau Nüblingin vor dem Blaisp-Thor ist guter alter Honig, dito Wachs und Anis- Wasser nach Belieben zu haben.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,3015,1559,236/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t4,N,1,28774,1770-01-04,5,5,1,FALSE,FALSE,,,,,de,,"4. Ein oder zwey Heustöck gut und unberegnet, in Mutten; liegend, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,3251,1559,237/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t5,N,1,28774,1770-01-04,5,6,1,FALSE,FALSE,,,,,de,,"5. Eine artige Voliere mit einem Springbrünnlein in ein Zimmer zu stellen, samt Paarhäuslein und eine Parthey schöne Canari- Vögel, alles in billigem Preis, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,3488,1559,399/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t6,N,1,28774,1770-01-04,5,7,1,FALSE,FALSE,,,,,de,,"6. Bey Herrn Lukas Preiswerhk in der Schreibstube ist ein Stuck extra schöner gefarbter Brüßler-Camelot, der Stab à 1. Ducaten zu haben.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,3887,1559,325/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t7,N,1,28774,1770-01-04,5,8,1,FALSE,FALSE,,,,,de,,7. Im Gasthof zum Schnabel ist nach Belieben überhaupt oder Wagen -weis jederzeit guten Pferdtbau in billigem Preis zu haben.,,"https://iiif.avisblatt.freizo.org/image/28779_0000/389,4212,1559,258/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t8,N,1,28774,1770-01-04,5,9,1,FALSE,FALSE,,,,,de,,"8. Auf E. E. Zunft zu Gartnern sind von denen schon bekanten geflochtenen Jonc-Sesseln, das Dutzend à 25. Livres franz. Valuta zu haben.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1975,1628,1559,342/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t9,N,1,28774,1770-01-04,5,10,1,FALSE,FALSE,,,,,de,,"9. Bey Mstr. Jakob Egg dem Büchsenmacher sind alte Müßketen-Lauff, wie auch Lavetten-Eisen, auch neue doppelt und einfache Jagd: Flinten, wie auch Commis-Flinten in unterschiedlichen doch biligen Preisen zu haben.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1980,1970,1554,483/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t10,N,1,28774,1770-01-04,5,11,1,FALSE,FALSE,,,,,de,,"10. Eine schöne goldene Uhr à 4. und eine halbe Ldors und eine silberne dito à 2. Ldors, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1980,2453,1554,226/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t11,N,1,28774,1770-01-04,5,12,1,FALSE,FALSE,,,,,de,,"11. Ein Centner alte mößingene Häftlin, in billigem Preis, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1980,2679,1554,136/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t12,N,1,28774,1770-01-04,5,13,1,FALSE,FALSE,,,,,de,,"12. Ein Stücklein alter rother Wein der Saum à 6. Nthaler. Ein der besten Weibersitzz in der Münsterkirch zu verkaufen oder zu verleihen, im Berichthaus zu erfragen.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1980,2815,1554,347/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t13,N,1,28774,1770-01-04,5,14,1,FALSE,FALSE,,,,,de,,"13. Im Berichthaus ist ein Rucken -Stück zum Muster zu sehen, von 7. extra schön mit gelben seidenen Boden und Bonceau-farben Blumen gestickten Sesseln in billigem Preis zu haben.",,"https://iiif.avisblatt.freizo.org/image/28779_0000/1985,3162,1549,399/full/0/default.jpg","","","","","","","","","",saleoffer
a1ec788b-2f8e-50c5-9463-153d60f5ed21/t14,N,1,28774,1770-01-04,5,15,1,FALSE,FALSE,,,,,de,,14. Bey Mstr. Hans Georg Müller im Ger- bergäßlein ist guter weisser Marggräfer-Wein von 1767 und 68. um 18. lb. der Saum nach Belieben zu haben.,,"https://iiif.avisblatt.freizo.org/image/28779_0000/1985,3561,1549,341/full/0/default.jpg","","","","","","","","","",saleoffer
