published,price,type
1729-03-22,6.098,calculated
1729-03-29,6.28,calculated
1729-04-05,6.311,calculated
1729-04-12,6.341,calculated
1729-04-19,6.341,calculated
1729-04-26,6.341,calculated
1729-05-03,6.341,calculated
1729-05-10,6.341,calculated
1729-05-17,6.341,calculated
1729-05-24,6.402,calculated
1729-05-31,6.677,calculated
1729-06-07,6.86,calculated
1729-06-14,6.707,calculated
1729-06-21,6.707,calculated
1729-06-28,6.707,calculated
1729-07-05,6.707,calculated
1729-07-12,6.829,calculated
1729-07-19,6.738,calculated
1729-07-26,6.738,calculated
1729-08-02,6.433,calculated
1729-08-09,6.341,calculated
1729-08-16,6.311,calculated
1729-08-23,6.311,calculated
1729-08-30,6.433,calculated
1729-09-06,6.421,calculated
1729-09-13,6.402,calculated
1729-09-20,6.494,calculated
1729-09-27,6.494,calculated
1729-10-04,6.555,calculated
1729-10-11,6.604,calculated
1729-10-18,6.677,calculated
1729-10-25,6.677,calculated
1729-11-01,6.768,calculated
1729-11-08,6.616,calculated
1729-11-15,6.494,calculated
1729-11-22,6.482,calculated
1729-11-29,6.311,calculated
1729-12-06,6.433,calculated
1729-12-13,6.463,calculated
1729-12-20,6.524,calculated
1729-12-27,6.433,calculated
1730-01-10,6.311,calculated
1730-01-17,6.311,calculated
1730-01-24,6.341,calculated
1730-01-31,6.25,calculated
1730-02-07,5.854,calculated
1730-02-14,5.915,calculated
1730-02-21,6.22,calculated
1730-02-28,6.006,calculated
1730-03-07,6.128,calculated
1730-03-14,5.915,calculated
1730-03-21,5.793,calculated
1730-03-28,5.854,calculated
1730-04-04,5.945,calculated
1730-04-11,5.884,calculated
1730-04-18,5.976,calculated
1730-04-25,5.909,calculated
1730-05-02,5.909,calculated
1730-05-09,5.817,calculated
1730-05-16,5.854,calculated
1730-05-23,5.854,calculated
1730-05-30,5.854,calculated
1730-06-06,5.976,calculated
1730-06-13,6.006,calculated
1730-06-20,6.006,calculated
1730-06-27,6.006,calculated
1730-07-04,6.006,calculated
1730-07-11,5.945,calculated
1730-07-18,5.945,calculated
1730-07-25,5.915,calculated
1730-08-01,5.884,calculated
1730-08-08,5.884,calculated
1730-08-15,5.652,calculated
1730-08-22,5.622,calculated
1730-08-29,5.652,calculated
1730-09-05,5.793,calculated
1730-09-12,5.701,calculated
1730-09-19,5.701,calculated
1730-09-26,5.701,calculated
1730-10-03,5.701,calculated
1730-10-10,5.652,calculated
1730-10-17,5.652,calculated
1730-10-24,5.854,calculated
1730-10-31,6.049,calculated
1730-11-07,6.049,calculated
1730-11-14,6.098,calculated
1730-11-21,6.037,calculated
1730-11-28,6.037,calculated
1730-12-05,6.037,calculated
1730-12-12,6.037,calculated
1730-12-19,6.128,calculated
1730-12-26,6.037,calculated
1731-01-09,5.915,calculated
1731-01-16,5.884,calculated
1731-01-23,5.884,calculated
1731-01-30,6.067,calculated
1731-02-06,5.884,calculated
1731-02-13,,calculated
1731-02-20,6.25,calculated
1731-02-27,6.311,calculated
1731-03-06,5.976,calculated
1731-03-13,6.067,calculated
1731-03-20,6.128,calculated
1731-03-27,6.22,calculated
1731-04-03,6.402,calculated
1731-04-10,6.463,calculated
1731-04-17,6.555,calculated
1731-04-24,6.555,calculated
1731-05-08,6.738,calculated
1731-05-15,6.738,calculated
1731-05-22,6.738,calculated
1731-05-29,6.665,calculated
1731-06-05,6.665,calculated
1731-06-12,6.707,calculated
1731-06-19,6.921,calculated
1731-06-26,7.409,calculated
1731-07-03,8.14,calculated
1731-07-10,8.201,calculated
1731-07-17,8.018,calculated
1731-07-24,7.866,calculated
1731-07-31,7.561,calculated
1731-08-07,7.866,calculated
1731-08-14,8.323,calculated
1731-08-21,8.598,calculated
1731-08-28,8.476,calculated
1731-09-04,8.049,calculated
1731-09-11,8.049,calculated
1731-09-18,8.14,calculated
1731-09-25,8.14,calculated
1731-10-02,8.049,calculated
1731-10-09,8.232,calculated
1731-10-16,8.14,calculated
1731-10-23,8.14,calculated
1731-10-30,8.354,calculated
1731-11-06,8.354,calculated
1731-11-13,8.14,calculated
1731-11-20,8.14,calculated
1731-11-27,8.14,calculated
1731-12-04,8.079,calculated
1731-12-11,8.018,calculated
1731-12-18,8.14,calculated
1731-12-25,8.232,calculated
1732-01-01,8.293,calculated
1732-01-08,8.171,calculated
1732-01-15,8.171,calculated
1732-01-22,8.049,calculated
1732-01-29,7.866,calculated
1732-02-05,7.866,calculated
1732-02-12,7.866,calculated
1732-02-19,7.683,calculated
1732-02-26,7.5,calculated
1732-03-04,7.39,calculated
1732-03-11,7.317,calculated
1732-03-18,7.317,calculated
1732-03-25,7.378,calculated
1732-04-01,7.652,calculated
1732-04-08,7.439,calculated
1732-04-15,7.409,calculated
1732-04-22,7.104,calculated
1732-04-29,6.97,calculated
1732-05-06,6.97,calculated
1732-05-13,6.86,calculated
1732-05-20,6.921,calculated
1732-05-27,6.921,calculated
1732-06-03,6.768,calculated
1732-06-10,6.982,calculated
1732-06-17,7.073,calculated
1732-06-24,7.073,calculated
1732-07-01,7.012,calculated
1732-07-08,7.012,calculated
1732-07-15,7.043,calculated
1732-07-22,6.829,calculated
1732-07-29,6.585,calculated
1732-08-05,6.585,calculated
1732-08-12,6.707,calculated
1732-08-19,6.585,calculated
1732-08-26,6.646,calculated
1732-09-02,6.905,calculated
1732-09-09,7.104,calculated
1732-09-16,7.165,calculated
1732-09-23,7.287,calculated
1732-09-30,6.982,calculated
1732-10-07,7.073,calculated
1732-10-14,7.073,calculated
1732-10-21,7.409,calculated
1732-10-28,7.927,calculated
1732-11-04,7.835,calculated
1732-11-11,7.835,calculated
1732-11-18,7.835,calculated
1732-11-25,8.14,calculated
1732-12-02,8.14,calculated
1732-12-09,8.018,calculated
1732-12-16,8.293,calculated
1732-12-23,8.171,calculated
1732-12-30,8.171,calculated
1733-01-06,8.232,calculated
1733-01-13,7.988,calculated
1733-01-20,7.988,calculated
1733-01-27,8.018,calculated
1733-02-03,7.713,calculated
1733-02-10,7.805,calculated
1733-02-17,7.805,calculated
1733-02-24,7.366,calculated
1733-03-03,7.82,calculated
1733-03-10,7.939,calculated
1733-03-24,7.988,calculated
1733-03-31,7.988,calculated
1733-04-07,7.988,calculated
1733-04-14,7.988,calculated
1733-04-21,7.866,calculated
1733-04-28,7.988,calculated
1733-05-05,7.988,calculated
1733-05-12,8.018,calculated
1733-05-19,8.049,calculated
1733-05-26,8.079,calculated
1733-06-02,8.14,calculated
1733-06-09,8.598,calculated
1733-06-16,8.598,calculated
1733-06-23,8.415,calculated
1733-06-30,8.415,calculated
1733-07-07,8.53,calculated
1733-07-14,8.293,calculated
1733-07-21,7.927,calculated
1733-07-28,7.744,calculated
1733-08-04,7.53,calculated
1733-08-11,7.591,calculated
1733-08-18,7.866,calculated
1733-08-25,7.591,calculated
1733-09-01,6.951,calculated
1733-09-08,7.335,calculated
1733-09-15,7.866,calculated
1733-09-22,7.317,calculated
1733-09-29,7.226,calculated
1733-10-06,7.409,calculated
1733-10-13,7.713,calculated
1733-10-20,8.415,calculated
1733-10-27,8.994,calculated
1733-11-03,8.659,calculated
1733-11-10,8.841,calculated
1733-11-17,9.024,calculated
1733-11-24,8.75,calculated
1733-12-01,8.323,calculated
1733-12-08,8.323,calculated
1733-12-15,8.232,calculated
1733-12-22,8.232,calculated
1733-12-29,8.018,calculated
1734-01-05,8.018,calculated
1734-01-12,7.744,calculated
1734-01-19,7.866,calculated
